Author Handle,ID,Age,Like Count,Fetched On,Action,Text
40lidae,C2GhdNTrf-4-comment-7,14w,1,"""2024-05-15 18:59:18""",comment,Mybrudda🤞🏾
_54dableeda,C2GhdNTrf-4-comment-8,14w,1,"""2024-05-15 18:59:18""",comment,🔥❤️
teenosatan,C2GhdNTrf-4-comment-11,14w,1,"""2024-05-15 18:59:18""",comment,🩸
meezybleeda,C2GhdNTrf-4-comment-36,14w,0,"""2024-05-15 18:59:18""",comment,Dabby🫶🏾
iam40glockcyou,C2lA3F5ODPT,13w,0,"""2024-05-15 18:59:18""",Post,All My Niggas Got Motion💕 Vday Come You Broke My Dawg Gone Buy Her Roses🤣 #explore
realbleeda_,C2lA3F5ODPT-comment-4,13w,2,"""2024-05-15 18:59:18""",comment,Sf🩸🖤
40lidae,C2lA3F5ODPT-comment-6,13w,0,"""2024-05-15 18:59:18""",comment,🤞🏾🤞🏾
teenosatan,C2lA3F5ODPT-comment-29,13w,0,"""2024-05-15 18:59:18""",comment,🤞🏾🥷
iam40glockcyou,C2oG3fQMSHg,13w,0,"""2024-05-15 18:59:18""",Post,I Made My Self A Boss! Forever Ride For My Bro What I Was Taught ♠️ #explore #4GS
realbleeda_,C2oG3fQMSHg-comment-1,13w,2,"""2024-05-15 18:59:18""",comment,🩸🖤
teenosatan,C2oG3fQMSHg-comment-30,13w,0,"""2024-05-15 18:59:18""",comment,DaBig1🩸💜
iam40glockcyou,C2P5zyNLWX4,14w,0,"""2024-05-15 18:59:18""",Post,Site Is Now 🆙 And Running Go Support 💜 Link In My Bio💰 #explore
iam40glockcyou,C2qvRSRsQvW,12w,0,"""2024-05-15 18:59:18""",Post,Im Loaded Out Now Link In My Bio🔥 #explore
40lidae,C2qvRSRsQvW-comment-3,12w,3,"""2024-05-15 18:59:18""",comment,Big 4G$🤞🏾
meezybleeda,C2qvRSRsQvW-comment-4,12w,2,"""2024-05-15 18:59:18""",comment,🔥🔥
meezybleeda,C2qvRSRsQvW-comment-5,12w,2,"""2024-05-15 18:59:18""",comment,🔥❤️
rugerrudy,C2qvRSRsQvW-comment-12,12w,10,"""2024-05-15 18:59:18""",comment,🩸🔥🔥🔥
realbleeda_,C2qvRSRsQvW-comment-19,12w,24,"""2024-05-15 18:59:18""",comment,🩸🖤
